Date,Time,AirQuality,CO,Humidity,Temperature
2021-12-01,13:23:30.831843,86,50,59.00,31.10
2021-12-01,13:23:32.862366,85,51,59.00,31.10
2021-12-01,13:23:34.892958,85,46,59.00,31.10
2021-12-01,13:23:36.923365,82,50,59.00,31.00
2021-12-01,13:23:38.937954,86,48,59.00,31.00
2021-12-01,13:23:40.968468,85,47,60.00,31.00
2021-12-01,13:23:42.998909,83,48,60.00,31.00
2021-12-01,13:23:45.029308,85,47,60.00,31.00
2021-12-01,13:23:47.043858,85,47,60.00,31.00
2021-12-01,13:23:49.074747,86,48,60.00,31.00
2021-12-01,13:23:51.104879,86,49,60.00,31.00
2021-12-01,13:23:53.119547,83,51,60.00,31.00
2021-12-01,13:23:55.149982,85,52,60.00,31.00
2021-12-01,13:23:57.180476,83,50,60.00,31.00
2021-12-01,13:23:59.210931,86,48,60.00,31.00
2021-12-01,13:24:01.225622,85,52,60.00,31.00
2021-12-01,13:24:03.256155,86,47,60.00,31.00
2021-12-01,13:24:05.286742,84,51,60.00,30.90
2021-12-01,13:24:07.317309,84,48,60.00,30.90
2021-12-01,13:24:09.331845,82,50,60.00,30.90
2021-12-01,13:24:11.362348,83,51,60.00,30.90
2021-12-01,13:24:13.392782,84,52,60.00,30.90
2021-12-01,13:24:15.423270,86,51,60.00,30.90
2021-12-01,13:24:17.437738,85,52,60.00,30.80
2021-12-01,13:24:19.468166,84,52,60.00,30.80
2021-12-01,13:24:21.498533,87,49,60.00,30.80
2021-12-01,13:24:23.528808,85,47,60.00,30.80
2021-12-01,13:24:25.543436,84,52,60.00,30.80
2021-12-01,13:24:27.573982,87,51,60.00,30.80
2021-12-01,13:24:29.604539,85,47,60.00,30.80
2021-12-01,13:24:31.634927,87,48,60.00,30.80
2021-12-01,13:24:33.649589,83,50,60.00,30.80
2021-12-01,13:24:35.679993,83,52,60.00,30.80
2021-12-01,13:24:37.710358,85,52,60.00,30.80
2021-12-01,13:24:39.740663,85,52,60.00,30.80
2021-12-01,13:24:41.755271,83,51,60.00,30.80
2021-12-01,13:24:43.785597,83,52,60.00,30.80
2021-12-01,13:24:45.815755,85,48,60.00,30.80
2021-12-01,13:24:47.846035,87,47,60.00,30.80
2021-12-01,13:24:49.860427,86,51,60.00,30.80
2021-12-01,13:24:51.890776,86,52,60.00,30.80
2021-12-01,13:24:53.921092,84,52,60.00,30.70
2021-12-01,13:24:55.951056,85,49,60.00,30.80
2021-12-01,13:24:57.965323,85,52,60.00,30.80
2021-12-01,13:24:59.995521,85,49,60.00,30.70
2021-12-01,13:25:02.025783,85,52,60.00,30.70
2021-12-01,13:25:04.056177,87,47,60.00,30.70
2021-12-01,13:25:06.070666,87,48,60.00,30.70
2021-12-01,13:25:08.100757,83,52,60.00,30.70
2021-12-01,13:25:10.130948,85,50,60.00,30.70
2021-12-01,13:25:12.161131,86,51,60.00,30.70
2021-12-01,13:25:14.191382,87,48,60.00,30.70
2021-12-01,13:25:16.205805,86,48,60.00,30.70
2021-12-01,13:25:18.235961,86,49,60.00,30.70
2021-12-01,13:25:20.266318,83,51,60.00,30.70
2021-12-01,13:25:22.296504,86,49,60.00,30.70
2021-12-01,13:25:24.311088,87,47,61.00,30.60
2021-12-01,13:25:26.341218,85,52,61.00,30.60
2021-12-01,13:25:28.371247,85,50,61.00,30.70
2021-12-01,13:25:30.401391,87,51,61.00,30.70
2021-12-01,13:25:32.415747,86,49,61.00,30.70
2021-12-01,13:25:34.445879,86,52,61.00,30.60
2021-12-01,13:25:36.475928,87,47,61.00,30.70
2021-12-01,13:25:38.506219,87,47,61.00,30.70
2021-12-01,13:25:40.520894,87,48,61.00,30.60
2021-12-01,13:25:42.551628,86,50,61.00,30.60
2021-12-01,13:25:44.582125,86,50,61.00,30.60
2021-12-01,13:25:46.612575,84,53,61.00,30.60
2021-12-01,13:25:48.627248,86,51,61.00,30.60
2021-12-01,13:25:50.657767,86,51,61.00,30.60
2021-12-01,13:25:52.688045,86,49,61.00,30.60
2021-12-01,13:25:54.718516,87,49,61.00,30.60
2021-12-01,13:25:56.733235,87,49,61.00,30.60
2021-12-01,13:25:58.763555,85,50,61.00,30.60
2021-12-01,13:26:00.794086,85,51,61.00,30.60
2021-12-01,13:26:02.824568,87,47,61.00,30.60
2021-12-01,13:26:04.839276,87,49,61.00,30.60
2021-12-01,13:26:06.869720,87,47,61.00,30.60
2021-12-01,13:26:08.900187,87,48,61.00,30.60
2021-12-01,13:26:10.930563,86,51,61.00,30.60
2021-12-01,13:26:12.945126,87,48,61.00,30.60
2021-12-01,13:26:14.975421,85,52,61.00,30.60
2021-12-01,13:26:17.005981,85,51,61.00,30.60
2021-12-01,13:26:19.036675,87,48,61.00,30.60
2021-12-01,13:26:21.051489,87,49,61.00,30.60
2021-12-01,13:26:23.082114,87,50,61.00,30.60
